1,1,96,9,254.64
2,1,53,3,4677.13
3,1,86,10,3119.48
4,1,57,3,161.65
5,2,48,4,1481.48
6,2,32,3,4900.81
7,3,78,4,1171.77
8,3,62,7,4176.08
9,3,30,7,876.82
10,3,32,1,4900.81
11,3,80,5,4977.73
12,4,50,9,383.40
13,4,31,1,3956.37
14,4,2,8,1219.94
15,4,66,2,151.30
16,4,71,1,3940.79
17,5,42,4,4445.29
18,5,64,7,4645.23
19,5,88,10,3650.71
20,5,64,3,4645.23
21,5,91,10,3326.04
22,6,41,1,3294.71
23,6,33,2,4359.13
24,6,13,5,2092.36
25,6,3,9,3282.03
26,6,30,10,876.82
27,7,5,5,2028.04
28,7,2,1,1219.94
29,7,22,4,4861.43
30,8,48,2,1481.48
31,8,38,1,4099.11
32,8,37,9,3925.38
33,8,64,8,4645.23
34,9,8,8,775.15
35,9,54,7,171.59
36,9,100,5,1332.93
37,9,11,7,1713.86
38,9,37,3,3925.38
39,10,93,10,2513.33
40,10,87,1,4778.41
41,10,53,8,4677.13
42,11,71,5,3940.79
43,11,8,5,775.15
44,12,39,2,1490.98
45,12,17,9,4056.32
46,13,33,6,4359.13
47,13,70,7,3412.60
48,13,36,10,2124.90
49,13,8,8,775.15
50,13,13,8,2092.36
51,14,67,8,1274.06
52,14,91,1,3326.04
53,15,43,2,727.31
54,15,8,1,775.15
55,15,84,2,2555.86
56,15,38,5,4099.11
57,16,4,5,4855.89
58,16,51,5,1936.97
59,17,8,9,775.15
60,17,24,7,3735.90
61,17,29,8,516.16
62,18,90,10,2992.32
63,18,26,2,209.82
64,19,76,8,4261.32
65,19,38,2,4099.11
66,19,58,1,2188.81
67,19,72,8,2674.14
68,19,1,8,1606.34
69,20,84,10,2555.86
70,20,47,1,3930.99
71,21,27,4,2302.21
72,21,67,4,1274.06
73,22,91,1,3326.04
74,22,67,9,1274.06
75,22,72,4,2674.14
76,23,23,10,1811.71
77,23,42,8,4445.29
78,24,52,7,3284.74
79,24,31,6,3956.37
80,24,40,5,3132.58
81,25,78,9,1171.77
82,25,71,10,3940.79
83,25,55,4,2094.76
84,25,70,5,3412.60
85,26,66,7,151.30
86,26,8,5,775.15
87,26,56,4,4665.62
88,27,33,3,4359.13
89,27,42,4,4445.29
90,28,21,8,2210.42
91,28,36,3,2124.90
92,29,12,4,57.33
93,30,70,6,3412.60
94,30,28,5,2473.70
95,30,97,7,4466.21
96,30,86,8,3119.48
97,30,44,9,4978.70
98,31,86,10,3119.48
99,31,36,2,2124.90
100,31,91,10,3326.04
101,32,34,2,4121.54
102,32,16,1,4772.61
103,32,27,6,2302.21
104,32,43,4,727.31
105,32,30,4,876.82
106,33,5,4,2028.04
107,33,7,6,2816.85
108,33,69,8,2569.43
109,33,9,7,4927.07
110,34,74,3,4413.83
111,35,59,1,1950.38
112,35,40,9,3132.58
113,36,85,6,1371.26
114,36,90,8,2992.32
115,36,91,6,3326.04
116,36,77,1,210.80
117,36,9,7,4927.07
118,37,49,5,1585.26
119,38,28,9,2473.70
120,39,71,2,3940.79
121,39,98,5,534.22
122,39,10,5,3067.20
123,39,49,6,1585.26
124,40,99,6,3609.01
125,40,47,9,3930.99
126,40,99,5,3609.01
127,40,47,8,3930.99
